	word	label_int
50358	fluke	6
91830	pernicious	0
67147	insulting	5
7077	arid	5
126033	tempest	3
75858	magical	6
28449	counsellor	7
47928	favorable	6
77569	matron	7
125432	tariff	2
99214	providing	4
34857	devastate	5
112197	sentence	5
116428	snag	6
26423	consternation	3
35421	dietary	1
57880	harass	0
60970	hostile	0
17109	calf	7
112102	senseless	2
12203	beware	3
62180	idiotic	0
19833	chaos	3
51419	formality	7
132628	underestimate	6
126869	theocratic	7
29982	crucifixion	2
91571	peril	1
62340	illegality	0
43464	enthusiasm	4
85230	objection	0
141072	wretched	2
97639	probity	7
60652	hopelessness	2
126572	terrorist	2
19154	celebration	4
76867	margin	5
105263	repellant	3
64800	indict	0
54794	glimmer	4
110777	scold	5
65432	infectious	2
65383	infarct	3
51033	foreclose	3
20999	chuckle	7
138680	wasted	0
77059	marrow	7
5943	apache	3
136977	victimized	5
136973	victimized	3
55309	goodness	7
69453	jaws	3
90714	peace	4
133813	unknown	3
132837	undesirable	5
85259	objective	7
51044	forefathers	4
130133	treat	3
1009	accountable	7
60772	horrible	2
67867	interrupted	5
124547	sympathetic	5
78539	merchant	7
128773	tornado	3
37387	dispel	5
32032	deceive	2
69002	irritating	2
103799	regal	7
81249	moral	7
68333	invader	3
126189	tender	7
23217	collusion	5
64813	indictment	3
109170	ruthless	0
38767	dolor	5
116528	sneak	6
33407	demonstrative	5
137004	victorious	4
12432	bile	2
29004	cradle	4
4111	aloha	1
94779	poll	7
78147	melancholic	5
47592	farcical	2
126991	thermocouple	1
8613	attacking	3
85109	oath	7
37453	displaced	3
37282	disobey	2
131803	ultimatum	3
80270	misunderstanding	0
60992	hostility	2
66530	insane	0
135111	uphill	1
141628	young	6
13782	boil	2
122380	subversion	0
139947	wildfire	5
67187	insurmountable	5
45763	exigent	3
71058	labor	6
33570	deny	0
84984	nursery	4
97969	professor	7
21600	clashing	0
29202	crawl	2
17432	cancer	2
19719	champion	7
139664	white	4
60532	hood	2
137339	virgin	7
133297	unfortunate	5
132233	unbridled	3
23870	commotion	0
79260	mighty	0
90159	passionate	7
78664	merry	4
90449	patriarchal	7
97704	procession	4
34712	deterioration	2
34353	despair	3
64143	incite	3
107231	revolution	1
95364	possess	4
61630	hurtful	0
95869	praise	7
31784	deal	4
26822	contentious	2
110993	screaming	3
59252	hemorrhage	2
54142	gent	2
95831	practise	1
102003	ravenous	3
44311	escape	1
38090	distressing	0
124659	synergistic	7
84990	nurture	0
131791	ultimately	1
46781	extricate	1
56780	grumble	0
112161	sensual	1
63767	inadequate	5
63549	improve	7
53438	gape	6
110367	scar	5
56772	gruff	2
55123	god	3
44913	eventuality	3
113670	shoot	0
85862	octopus	2
78629	merit	7
13402	bloodthirsty	2
23621	commemoration	1
30810	cussed	0
69010	irritation	0
45119	exalt	7
45539	execution	7
2501	advocacy	1
59459	heritage	7
141062	wretch	2
5602	antagonistic	2
85172	obesity	2
84732	noxious	2
134417	unrequited	5
88117	overdue	5
101103	rabid	3
102743	reckless	3
84733	noxious	3
133439	unification	7
45569	executor	7
12913	blackness	3
70094	jump	4
45761	exigent	1
117271	sonar	1
11394	beauty	4
45762	exigent	2
42554	enchanted	4
135103	upheaval	3
53139	gage	7
1039	accounts	7
136290	vengeful	0
38040	distracting	0
109711	sanctuary	1
135887	varicella	5
83993	nightmare	3
104771	remedy	1
53403	gang	3
42813	endocarditis	3
56949	guide	7
16799	bylaw	7
45530	execution	0
63847	inappropriate	5
138749	watchman	7
17430	cancer	0
136640	versus	0
134177	unpleasant	5
99009	protecting	7
86720	opium	0
130180	tree	0
113821	shortly	1
91703	perjury	3
120083	stealthy	3
64847	indigent	5
13030	blatant	0
47029	fact	7
114232	sickly	2
20618	chimera	6
112573	servile	3
79982	misguided	2
58993	heft	3
83660	nether	0
53017	fury	5
29980	crucifixion	0
51984	fraternal	4
62377	illegitimate	5
11554	befriend	4
86000	offense	0
12817	bitterly	5
76727	manslaughter	5
49567	flaccid	5
97163	prick	3
105293	repent	3
76573	manifestation	3
122428	succeed	6
20777	choke	5
116214	smiling	4
71261	lagging	1
141067	wretch	5
75072	louse	2
112302	separatist	2
75931	magnificence	1
11823	belt	3
98213	projectiles	3
99930	punitive	0
134208	unpredictable	6
132942	undoubted	2
106733	reticent	3
47977	fearful	5
91339	perceive	7
60092	hoax	2
117307	sonnet	5
45139	exalted	7
11364	beautification	4
67833	interrogate	3
114189	sib	7
93562	plague	2
19728	chance	6
30923	cutter	3
85217	obituary	5
130389	tribune	7
107280	revulsion	0
110821	score	1
999	accountability	7
130139	treat	7
74802	loon	2
6188	apparition	6
45467	exclusion	5
65150	inept	0
34150	desecration	0
76227	malicious	5
76728	manslaughter	6
112009	senate	7
127392	threatening	2
26352	conspirator	2
105050	renounce	0
74762	loo	2
18423	cartridge	3
93272	pious	2
122421	succeed	1
129953	traumatic	3
80841	momentum	1
25709	conformity	7
121068	strangle	6
29570	crime	0
32013	deceit	3
41564	elegance	4
67299	intelligence	7
57801	hankering	1
113690	shooting	0
87628	outburst	6
119247	stab	5
109173	ruthless	3
2257	adrift	5
109678	sanctify	6
62233	idolatry	3
127417	thresh	5
1239	achievement	7
137624	vitality	4
47419	familiarity	7
13424	bloom	4
120989	straightforward	7
29944	crowning	4
72189	leading	7
60698	horde	6
56552	grope	2
89507	paralyzed	5
77889	medal	7
69904	joy	4
75494	luscious	4
30299	cuddle	7
18490	cash	0
23019	collaborator	7
111711	seductive	1
10280	bane	0
98689	prophet	7
82583	mysterious	3
19522	cess	2
47297	falling	5
115530	slavery	0
30692	cursing	2
5559	answerable	7
8352	asymmetry	2
54262	germ	2
32650	defiance	0
38140	disturbance	0
7403	arsenic	3
63591	improvise	1
79109	microscope	7
64422	inconvenient	2
58729	heartfelt	7
77257	massacre	5
66652	insidious	2
131763	ulcer	3
62811	immortality	1
67858	interrupt	6
105813	resection	3
123281	superstitious	1
76487	mangle	5
70209	jury	7
91077	penance	5
46320	explosive	0
8228	astonishment	6
102671	recipient	1
101233	radiation	3
12201	beware	1
128728	topple	6
59814	hilarious	4
56277	grief	5
6183	apparition	3
38779	dolphin	7
10310	banish	0
33563	denunciation	3
37173	dislocated	3
31992	decayed	2
28207	corse	5
64420	inconvenient	0
128993	toughness	3
34063	derogatory	3
117561	soundness	1
138612	wart	2
118637	splitting	5
42499	enablement	7
137410	virulence	0
122740	suicidal	0
59824	hilarity	4
58064	harmoniously	4
83793	newcomer	3
25901	conjecture	1
141641	youth	1
122690	suffocation	0
121411	stripped	1
104338	rejoice	6
29592	criminality	2
123668	surprised	6
94792	pollution	2
105877	resentment	5
58164	harvest	4
52012	fraudulent	2
36977	disheartening	5
9999	bailiff	7
68173	intrigue	3
57760	hanging	0
29497	cremation	5
125590	taunt	0
107853	risky	3
113693	shooting	3
90540	patter	0
106083	resisting	3
49039	finally	7
118488	spirits	6
16378	burlesque	6
33404	demonstrative	4
42489	enable	7
64953	indoctrination	3
18762	catechism	2
133588	unintentional	6
138823	waver	3
102929	reconciliation	7
85887	oddity	5
633	abuse	3
3700	alienation	0
25247	condescension	5
127381	threaten	1
54673	glare	3
85303	obliging	3
39507	dreadful	5
66583	insecure	3
133903	unlucky	3
37547	dispossessed	5
117851	spear	1
51253	forfeiture	3
112441	serial	1
4992	anathema	2
30983	cyanide	3
117388	sorcery	6
49910	fleece	0
32653	defiance	3
101754	rapt	4
140842	worsening	2
66047	inhibit	5
47069	facts	7
47154	fain	4
58037	harmful	5
72961	lesson	1
7741	aspiration	1
53297	gallows	5
135403	usurped	3
117453	sorrow	3
68619	inviting	7
7040	argumentation	0
90670	payback	0
60790	horrid	0
117314	sonorous	4
57493	hallucination	3
10710	barrier	0
51530	forsaken	0
105189	reparation	7
110580	schizophrenia	0
37003	dishonor	3
99134	proud	4
66808	inspired	6
108893	ruined	3
76462	mange	2
138387	wanting	5
8417	atherosclerosis	5
63960	incarceration	0
72039	lawful	7
29763	crocodile	3
109679	sanctify	7
64949	indivisible	7
36577	discontinuity	5
130427	trickery	5
126934	therapeutic	4
110387	scarce	5
118904	spouse	4
63598	improvise	6
124693	synonymous	3
120301	sterling	1
94550	poison	0
10600	bark	0
76011	mail	1
43542	entrails	2
97162	prick	2
80213	mistaken	3
38990	doomsday	0
57162	gush	2
104744	remarkable	4
75428	lunge	6
18222	carnage	2
34062	derogatory	2
140797	worn	5
84422	nose	2
32737	deflate	5
47780	fatal	0
16833	cabal	3
123721	surround	1
989	account	7
55250	gonorrhea	0
132832	undesirable	2
106998	revenge	6
83680	nettle	0
140030	wince	0
17928	captivate	6
2294	advance	4
130109	treasure	7
100009	puppy	7
65288	inexplicable	6
29623	cringe	3
95740	powerful	0
12122	betrayal	2
91833	pernicious	3
99923	punishment	3
25453	confession	3
24340	complain	0
112107	senseless	5
133811	unknown	1
77063	marry	3
96701	prescient	1
17649	canons	7
29580	criminal	0
26653	contagion	3
102657	recidivism	5
27519	convince	7
111533	sectarian	3
127102	thief	2
51189	foresight	7
81437	mortality	5
62859	immunization	7
83751	neutral	1
141658	zany	6
88807	pain	5
101763	raptors	3
130188	tree	6
38338	diversion	6
79789	miracle	7
117853	spear	3
71888	laugh	6
54373	giant	3
59551	heroism	1
124989	tactics	7
119243	stab	3
96103	precipice	3
65433	infectious	3
81574	mother	4
26823	contentious	3
74950	losing	0
128017	timid	5
57773	hangman	3
138707	wasting	5
67339	intend	7
93277	pious	5
86131	offset	1
61584	hurrah	4
33760	deportation	0
66650	insidious	0
114939	sisterhood	7
123719	surrogate	7
36992	dishonesty	2
48780	fighting	0
347	abortive	5
68083	intolerance	3
104293	reject	3
138713	watch	3
95692	poverty	2
47257	fall	5
16910	cad	0
72983	lethal	3
30301	cue	1
33821	depraved	1
132941	undoubted	1
134633	unsteady	3
123480	suppress	0
64317	incompetent	5
23403	combat	3
88303	overpowering	3
78373	menacing	3
58343	haunted	3
23519	comfort	7
47960	fear	0
127410	thresh	0
94929	pontiff	7
28691	court	1
112191	sentence	1
23	abandon	3
78479	mentor	7
30512	cupping	2
22869	cohesive	7
13103	blemish	3
25869	congressman	7
13169	blessings	7
113998	shriek	6
103763	refutation	3
141674	zeal	4
19263	censor	3
96809	preservative	7
72969	lesson	7
92230	perversion	0
172	abhor	2
18844	cathedral	4
42437	emptiness	5
34877	devastation	5
35843	dinosaur	3
114702	sin	2
107237	revolution	5
7424	art	4
64803	indict	3
122530	sucker	0
29518	crescendo	6
10308	banger	6
86281	omen	1
127322	thoughtless	2
61284	humanitarian	4
83667	nether	5
85593	obstruct	3
124324	swim	4
55417	gory	5
2298	advance	6
109671	sanctify	1
2803	affliction	3
55694	grandchildren	4
15701	bruise	1
101068	quote	6
37560	dispute	0
25620	confiscate	0
39491	dread	1
81297	morbid	5
81571	mother	1
293	abominable	3
121953	subjugation	3
4031	allure	1
32812	defraud	2
76309	mamma	7
93908	playground	6
19519	certify	7
43373	entangled	3
29863	crouch	3
82937	nasty	5
140171	winnings	1
10483	barbaric	3
56477	groan	5
113357	shell	5
110144	savor	4
73220	liberate	0
5254	animated	4
15540	broken	0
133227	unfavorable	5
109677	sanctify	5
126583	terrorize	3
102632	recession	2
107520	ridicule	0
19161	celebrity	1
60807	horrific	5
63492	imprisoned	2
11073	battled	3
31513	darkness	3
20024	charity	4
33207	delusion	5
104102	regurgitation	2
129323	tragedy	3
73172	liar	2
72029	law	7
55113	goblin	3
43737	epidemic	5
75524	luster	4
141508	yelp	6
67169	insure	7
31140	dabbling	0
62337	illegal	5
125720	tease	0
111109	scripture	7
26693	contaminated	3
37332	disparaging	2
69578	jest	6
131163	tumour	3
81579	mother	7
95864	praise	4
60643	hopeless	3
137564	visitor	4
85569	obstetrician	7
76182	malevolent	2
34513	destroying	3
140363	withstand	3
73057	leukemia	5
114719	sincere	7
128793	torrent	3
22318	clown	6
32537	defendant	5
56712	growling	2
109309	safe	7
94683	polio	3
92267	pessimism	5
34731	determinate	1
116370	smuggler	0
113591	shiver	1
34533	destructive	3
62424	illuminate	4
37352	disparity	2
99910	punishing	0
75119	lovemaking	7
132342	unclean	2
54754	glee	4
134289	unquestionable	7
101988	rave	6
25449	confess	7
65599	infinity	7
134421	unresolved	1
97209	priesthood	7
69798	joker	6
103071	recreation	1
68328	invade	6
10920	bastion	0
69220	jab	0
12703	birth	3
63899	inauguration	7
64694	independence	4
79910	misconception	0
75941	magnificent	1
32912	degrading	2
56607	grounded	5
88803	pain	3
44169	erotic	7
64043	incest	3
123578	surge	6
118739	sponsor	7
99917	punishing	5
92242	pervert	2
50772	fool	2
65343	infant	3
57879	happy	7
7277	arraignment	5
53663	gasping	3
56849	guarded	7
94560	poisoned	0
113129	share	7
98843	prosecute	3
55412	gory	2
66609	inseparable	7
68060	intimidation	0
4774	amuse	4
18264	carol	4
134433	unrest	3
111068	scrimmage	6
60481	honeymoon	1
122743	suicidal	3
58772	heartworm	2
130090	treason	0
93904	playground	4
58683	hearse	3
77154	marvelous	4
2403	adverse	3
81302	morbidity	2
113597	shiver	5
38070	distress	0
52023	fraught	3
99211	providing	1
59177	helpless	5
131290	turbulence	0
29627	cringe	5
78553	merciless	3
68618	inviting	6
82337	musical	5
72699	legitimacy	7
93052	piles	2
10298	bang	6
16142	bummer	2
65623	infirmity	3
20304	cheer	4
10327	banished	5
58130	harry	0
105563	reprisal	3
119462	stall	2
22181	closure	1
81053	monstrosity	3
1049	accredited	7
125743	teasing	3
141741	zest	1
95971	precarious	1
41001	edification	1
101702	rape	2
1231	achievement	1
108929	rule	7
83733	neurotic	3
112171	sensuality	1
24880	concealment	0
16629	butler	7
132781	undertaking	1
90499	patrol	7
2410	adversity	0
43454	entertainment	4
9709	babysitter	7
41707	elimination	5
63891	inauguration	1
120903	stormy	3
127507	throb	5
3703	alienation	3
50963	forcibly	3
86780	opposed	0
88431	overture	1
32059	deceiving	7
5600	antagonistic	0
86010	offensive	0
7744	aspiration	4
79940	miserable	0
135524	vacation	4
55648	graduation	6
130257	tremor	5
62738	immerse	6
141220	wrongful	0
132981	undying	1
110810	scorching	0
107179	revival	7
55764	grant	4
91863	perpetrator	3
140903	wound	3
75594	luxury	4
19820	chant	0
128877	torture	5
17191	calls	1
93957	plea	5
30419	cultivate	7
115882	slop	2
104947	remove	5
11567	beg	5
22563	cobra	3
14662	bowels	2
9899	badge	7
2814	affluence	4
120497	stillness	5
128124	tinsel	4
138692	wasteful	2
91697	perishing	5
35232	diaper	2
119440	stalemate	0
81763	mournful	3
32629	deference	7
71992	lavatory	2
76630	manipulation	0
45134	exalted	4
37243	dismissal	3
24369	complement	7
111880	selfish	0
75089	lovable	7
12383	bigot	3
97593	probation	3
132230	unbridled	0
3030	aggravated	0
87304	orgasm	4
112249	sentinel	7
62407	illness	5
29948	crowning	6
31570	dashed	0
115393	slam	3
126929	theory	7
33137	delirious	5
59257	hemorrhage	5
3611	alerts	1
139252	weird	2
58347	haunted	5
96754	present	4
63972	incase	2
141441	yearning	1
138429	warden	7
61861	hype	1
79370	militia	0
34343	desolation	3
129403	traitor	3
57818	hap	6
1160	accuser	0
20318	cheerful	6
128999	toughness	7
106993	revenge	3
66190	injure	0
72060	lawsuit	0
126939	therapeutic	7
84992	nurture	2
85162	obese	2
32917	degrading	5
117879	specialist	7
71659	larger	7
46291	explore	1
1170	accusing	0
110988	scream	6
117139	solidity	7
106843	retribution	3
17731	cap	1
85353	obliteration	3
139948	wildfire	6
120304	sterling	4
133131	unexpected	1
56700	growl	0
9511	award	1
10444	baptismal	4
34057	derogation	5
123483	suppress	3
33832	depravity	2
106503	restrained	3
139709	wholesome	7
1123	accursed	3
115270	skirmish	0
136261	venerable	1
48422	ferocious	2
92173	perturbation	3
139943	wildfire	3
16330	burial	0
107218	revolt	6
53293	gallows	3
89497	paralysis	5
667	abysmal	5
72463	leeches	3
69472	jealous	2
82207	murder	5
13912	bombed	2
14581	bounty	1
108030	rob	0
141694	zealous	4
9922	badness	2
10292	bang	2
63110	impermeable	0
10283	bane	3
13102	blemish	2
48732	fiend	2
110858	scorpion	6
110824	score	4
41489	elders	7
58599	healing	7
99882	pungent	2
27179	contributor	7
14209	boomerang	7
62142	idiocy	2
17530	cane	0
137529	visionary	7
123449	supporting	7
140379	witness	7
7793	assailant	3
135788	vanish	6
20782	cholera	2
126562	terrorism	2
105084	renovation	4
141007	wrecked	5
29703	criticize	3
115030	sizzle	0
79850	misbehavior	0
135183	uprising	3
104720	remand	0
45201	excavation	1
41703	elimination	3
31142	dabbling	2
3080	aggression	0
124534	symmetry	4
44347	eschew	5
94872	pompous	2
120712	stomach	2
63652	impurity	2
130104	treasure	4
129122	toxic	2
9089	authentic	7
47147	failure	5
16273	burdensome	3
27200	controversial	0
117619	sovereign	7
11473	bee	3
26329	consort	7
54621	glad	1
120430	stifled	0
123600	surly	0
65532	infidel	2
69483	jealousy	3
92223	perverse	3
37529	disposed	7
114379	signature	7
8529	atone	7
3859	allegiance	7
132809	underwrite	7
104449	relative	7
68400	invasion	0
65327	infamy	5
5207	anguish	5
134830	untoward	0
90239	pastor	7
79947	miserable	5
42544	enchant	4
2802	affliction	2
107203	revoke	3
7150	armament	0
93964	pleasant	4
33601	depart	1
47783	fatal	3
113858	shot	6
140027	wimpy	5
131303	turbulent	3
104673	reluctant	3
30020	cruelty	0
111239	seal	7
67009	instructions	7
29369	credential	7
13000	blasphemous	0
137989	voucher	7
25657	conflict	5
1650	adder	0
102623	recesses	3
22169	closeness	7
138282	wallow	2
44359	escort	7
124544	sympathetic	4
139208	weight	6
79977	misfortune	5
33510	denounce	0
51161	foresee	1
105194	repay	4
15720	brunt	0
45114	exalt	4
133077	unequal	5
7919	asserting	7
1153	accused	3
38987	doomed	5
15767	brute	5
133280	unforgiving	0
37597	disqualify	5
109419	saint	7
43233	enmity	3
82933	nasty	3
28180	corrupting	0
42074	embrace	4
108907	ruinous	5
37293	disorder	3
33151	deliverance	1
42940	enforce	0
100842	questionable	2
85557	obstacle	5
112047	senile	5
81453	mortgage	3
64629	indelible	7
34603	detainee	3
54791	glimmer	1
52562	frowning	2
101593	rampage	3
26079	conscientious	7
26662	contagious	2
97653	procedure	3
136113	vehement	3
124012	swamp	2
34780	detonation	0
117569	soundness	7
5901	anxiety	1
13139	bless	7
84089	nobility	7
108670	row	0
29622	cringe	2
57762	hanging	2
37521	disposed	1
42209	eminence	7
63564	improvement	4
82804	nap	4
130093	treason	3
9119	authenticity	7
45951	expectancy	1
88837	painfully	5
130754	trophy	4
35353	dictatorship	3
40507	dysentery	5
16741	buzz	1
93093	pillage	3
9769	backer	7
93197	pine	5
76049	mainstay	7
75194	loyal	4
107270	revolver	0
108422	rot	2
77064	marry	4
37830	dissolution	0
46277	explode	5
26780	contemptuous	0
42761	endeavor	1
13923	bomber	3
43230	enmity	0
68887	irreparable	5
40690	earthquake	0
15381	brilliant	1
137212	vindictive	2
37480	displeased	0
25849	congress	7
78187	melodrama	5
30113	crushing	3
26770	contemptible	0
67001	instructions	1
61219	hug	7
88393	overt	3
3103	aggressor	3
130379	tribunal	7
69393	jarring	3
100472	quagmire	2
103997	regret	5
75949	magnificent	7
74143	litigate	3
72570	legalized	0
66040	inhibit	0
124618	synchronize	6
61851	hymn	1
122942	sump	2
106697	retard	5
130391	tributary	1
134763	unthinkable	3
17360	campaigning	0
63009	impeccable	7
110413	scare	3
132847	undesired	5
62382	illicit	2
2843	affront	3
107478	riddle	6
107298	reward	6
90401	patience	1
123068	sunny	6
140610	wop	0
96601	preparation	1
55304	goodness	4
133302	unfriendly	2
85987	offended	5
53331	gambler	1
27989	corporation	7
26379	constable	7
95914	pray	4
131180	tumultuous	0
129464	tranquil	4
4794	amusement	4
46270	explode	0
96460	prejudice	0
56599	ground	7
86099	official	7
85422	obscenity	2
76722	manslaughter	2
28963	cracked	3
81482	mortification	2
133377	unhappy	5
22024	climax	4
6954	ardent	4
51049	forefathers	7
60214	holiday	4
140167	winning	5
20321	cheerfulness	1
92909	picnic	7
45462	exclusion	2
57901	harbinger	1
